Date,Close
8/31/2018,18.27
9/3/2018,18.45
9/4/2018,18.42
9/5/2018,18.37
9/6/2018,18.16
9/7/2018,18.02
9/10/2018,18.15
9/11/2018,18.17
9/12/2018,18.32
9/13/2018,18.03
9/14/2018,18.25
9/17/2018,18.21
9/18/2018,17.84
9/19/2018,17.92
9/20/2018,17.85
9/21/2018,18.04
9/24/2018,17.86
9/25/2018,18.05
9/26/2018,18.11
9/27/2018,18.14
9/28/2018,18.32
10/1/2018,18.46
10/2/2018,18.38
10/3/2018,18.42
10/4/2018,18.57
10/5/2018,18.38
10/8/2018,18.18
10/9/2018,18.01
10/10/2018,17.95
10/11/2018,17
10/12/2018,17.26
10/15/2018,17.35
10/16/2018,17.24
10/17/2018,17.77
10/18/2018,17.67
10/19/2018,17.45
10/22/2018,17.34
10/23/2018,17.37
10/24/2018,17.38
10/25/2018,16.73
10/26/2018,16.8
10/29/2018,16.84
10/30/2018,16.56
10/31/2018,16.74
11/1/2018,16.96
11/2/2018,16.91
11/5/2018,16.77
11/6/2018,16.67
11/7/2018,16.8
11/8/2018,17.14
11/9/2018,17.11
11/12/2018,16.98
11/13/2018,16.46
11/14/2018,16.42
11/15/2018,16.09
11/16/2018,16.37
11/19/2018,16.26
11/20/2018,15.8
11/21/2018,15.72
11/22/2018,15.71
11/23/2018,15.61
11/26/2018,15.72
11/27/2018,15.96
11/28/2018,16.11
11/29/2018,16.36
11/30/2018,16.37
12/3/2018,16.71
12/4/2018,16.48
12/5/2018,16.26
12/6/2018,16.07
12/7/2018,16.37
12/10/2018,15.8
12/11/2018,16.07
12/12/2018,16.25
12/13/2018,16.34
12/14/2018,16.12
12/17/2018,16.03
12/18/2018,15.61
12/19/2018,15.67
12/20/2018,15.35
12/21/2018,15.32
12/24/2018,14.89
12/27/2018,15.34
12/28/2018,15.52
12/31/2018,15.55
